Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d	category
Niviventer andersoni	49.5454545454545	183	0.154929577464789	23	4	0.857142857142857	0.142857142857143	639.631831820818	LC
Niviventer confucianus	35.9	100	0.0555555555555556	52	3	0.947368421052632	0.0526315789473684	624.399640909091	LC
Niviventer excelsior	40.5625	247	0.13597842835131	59	7	0.88	0.12	639.631831820818	LC
Niviventer fulvescens	33.125	229	0.0869565217391304	84	8	0.92	0.08	624.399640909091	LC
Noctilio albiventris	21	21	0.0333333333333333	59	1	0.967741935483871	0.032258064516129	1888.06537051282	LC
Noctilio leporinus	103.333333333333	0	0	12	0	1	0	1888.06537051282	LC
Nomascus gabriellae	54.5	116	0.381818181818182	6	2	0.714285714285714	0.285714285714286	5475	EN
Nomascus leucogenys	58	79	0.333333333333333	3	2	0.75	0.25	5475	CR
Nomascus siki	40.8	204	0.181878306878307	28	4	0.84375	0.15625	5475	EN
Nyctalus noctula	58	58	0.125	7	1	0.888888888888889	0.111111111111111	1529.35	LC
Nyctereutes procyonoides	52	268	0.333333333333333	19	4	0.75	0.25	2091.936666657	LC
Nycticebus bengalensis	63.5	255	0.4	9	4	0.714285714285714	0.285714285714286	2555	VU
Nycticebus pygmaeus	59.6666666666667	143	0.4	4	2	0.714285714285714	0.285714285714286	2920	VU
Ochotona collaris	33.3333333333333	100	0.6	6	3	0.625	0.375	894.25	LC
Ochotona curzoniae	52.1666666666667	160	0.217391304347826	18	3	0.819805194805195	0.180194805194805	751.47417	LC
Ochotona hyperborea	22	44	0.0909090909090909	18	2	0.916666666666667	0.0833333333333333	751.47417	LC
Ochotona princeps	44.3333333333333	100	0.0625	40	2	0.941176470588235	0.0588235294117647	1045.7507	LC
Ochotona rufescens	35.6269841269841	94	0.142857142857143	4	3	0.875	0.125	751.47417	LC
Ochotona thibetana	35.875	275	0.166666666666667	46	7	0.857142857142857	0.142857142857143	854.6685	LC
Odocoileus virginianus	50.0396825396825	58	0.0666666666666667	17	1	0.936170212765957	0.0638297872340425	2713.883333343	LC
Orcinus orca	42.5	0	0	3	0.5	0.98936170212766	0.0106382978723404	9380.5	DD
Ornithorhynchus anatinus	41.3333333333333	160	0.315789473684211	8	3	0.76	0.24	2878.755	NT
Otonycteris hemprichii	61.8181818181818	511	0.212864493996569	30	7	0.82089552238806	0.17910447761194	2051.66620769231	LC
